track_id	genre	track	danceability	energy	key	loudness
1	hiphop	Get Ur Freak On	0.797	0.75	0	-9.369
1	hiphop	Black and Yellow (feat. Juicy J, Snoop Dogg & T-Pain) - G-Mix [G-Mix]	0.697	0.827	7	-4.623
1	hiphop	Whatever You Like	0.68	0.687	9	-6.162
1	hiphop	Peaches & Cream (feat. P. Diddy)	0.706	0.537	7	-6.347
1	hiphop	Get Low	0.521	0.625	1	-7.47
1	hiphop	Who Dat Girl (feat. Akon)	0.719	0.616	1	-3.951
1	hiphop	It's Goin' Down (feat. Nitti)	0.888	0.577	1	-7.702
1	hiphop	Lose Yourself - From "8 Mile" Soundtrack	0.692	0.744	2	-4.565
1	hiphop	Shimmy Shimmy Ya	0.814	0.481	0	-5.183
1	hiphop	One Minute Man (feat. Jay-Z) - Remix	0.868	0.624	7	-8.84
1	hiphop	Hypnotized (feat. Akon)	0.84	0.571	10	-7.421
1	hiphop	Candy Shop	0.614	0.574	11	-7.961
1	hiphop	What's Your Fantasy (Featuring Shawna)	0.915	0.79	6	-3.186
1	hiphop	Ms. Jackson	0.843	0.806	4	-5.946
1	hiphop	Milkshake	0.881	0.774	1	-6.068
1	hiphop	Lollipop	0.829	0.428	0	-9.469
1	hiphop	Good Life	0.456	0.792	1	-6.889
1	hiphop	Got Your Money (feat. Kelis)	0.934	0.459	1	-7.654
1	hiphop	Smack That	0.94	0.743	5	-5.166
1	hiphop	Lighters Up	0.624	0.766	9	-6.31
1	hiphop	They Want EFX	0.866	0.534	5	-10.407
1	hiphop	Feel so Good	0.822	0.703	11	-8.464
1	hiphop	Lose Control (feat. Ciara & Fat Man Scoop)	0.904	0.813	4	-7.105
1	hiphop	Without Me	0.919	0.657	7	-2.823
1	hiphop	I Got Love	0.912	0.416	10	-5.943
1	hiphop	Tell Me When to Go (feat. Keak da Sneak)	0.857	0.751	1	-7.086
1	hiphop	Superstar (feat. Matthew Santos)	0.572	0.822	11	-6.015
1	hiphop	What's Luv? (feat. Ja-Rule & Ashanti)	0.835	0.707	8	-5.074
1	hiphop	Work It	0.884	0.677	1	-5.603
1	hiphop	Low (feat. T-Pain)	0.918	0.609	10	-5.64
1	hiphop	What You Know	0.551	0.81	11	-4.365
1	hiphop	Poppin' Them Thangs	0.769	0.818	6	-1.385
1	hiphop	Gold Digger	0.629	0.696	1	-5.572
1	hiphop	Umbrella	0.583	0.829	1	-4.603
1	hiphop	Hey Ya!	0.715	0.97	0	-2.206
1	hiphop	Right Round	0.72	0.672	7	-6.852
1	hiphop	Kick, Push	0.652	0.809	5	-5.276
1	hiphop	In Da Club	0.899	0.713	6	-2.752
1	hiphop	Daydreamin' (feat. Jill Scott)	0.533	0.739	5	-3.573
1	hiphop	Crazy In Love (feat. Jay-Z)	0.646	0.77	2	-6.596
1	hiphop	Run (I'm a Natural Disaster)	0.494	0.913	4	-3.708
1	hiphop	Yeah! (feat. Lil Jon & Ludacris)	0.894	0.791	2	-4.699
1	hiphop	Don't Matter	0.801	0.454	2	-6.035
1	hiphop	Drop It Like It's Hot	0.892	0.628	1	-3.832
1	hiphop	Buy U a Drank (Shawty Snappin') (feat. Yung Joc)	0.451	0.55	1	-8.137
1	hiphop	The Seed (2.0)	0.758	0.957	7	-2.282
1	hiphop	Crazy	0.835	0.741	8	-1.609
1	hiphop	Roses	0.751	0.708	0	-5.653
1	hiphop	Country Grammar (Hot Shit)	0.872	0.673	2	-6.879
1	hiphop	Mistadobalina	0.85	0.797	10	-7.429
1	hiphop	Party Up	0.534	0.933	11	-3.282
1	hiphop	Right Thurr	0.866	0.749	2	-3.977
1	hiphop	Bump, Bump, Bump (feat. P. Diddy)	0.835	0.68	1	-6.02
1	hiphop	Let Me Blow Ya Mind	0.905	0.559	1	-4.237
1	hiphop	Hot In Herre	0.956	0.745	11	-4.753
1	hiphop	Suga Suga	0.662	0.748	5	-3.041
1	hiphop	Goodies (feat. Petey Pablo)	0.826	0.647	5	-6.306
1	hiphop	Oh Boy	0.754	0.767	6	-5.586
1	hiphop	The Way You Move (feat. Sleepy Brown) - Radio Mix	0.869	0.608	5	-4.866
